"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Zona rural","Gérgal","UE15","A04050",1.11
2020,"Indicador 1","Zona rural","Huécija","UE15","A04051",0.82
2020,"Indicador 1","Ciudades","Huércal de Almería","UE15","A04052",0.38
2020,"Indicador 1","Zona de densidad intermedia","Huércal-Overa","UE15","A04053",5.64
2020,"Indicador 1","Zona rural","Íllar","UE15","A04054",2.22
2020,"Indicador 1","Zona rural","Instinción","UE15","A04055",2.23
2020,"Indicador 1","Zona rural","Laroya","UE15","A04056",3.54
2020,"Indicador 1","Zona rural","Láujar de Andarax","UE15","A04057",0.52
2020,"Indicador 1","Zona rural","Líjar","UE15","A04058",4.06
2020,"Indicador 1","Zona rural","Lubrín","UE15","A04059",16.01
2020,"Indicador 1","Zona rural","Lucainena de las Torres","UE15","A04060",5.14
2020,"Indicador 1","Zona rural","Lúcar","UE15","A04061",6.84
2020,"Indicador 1","Zona de densidad intermedia","Macael","UE15","A04062",0.16
2020,"Indicador 1","Zona rural","María","UE15","A04063",0.89
2020,"Indicador 1","Zona rural","Mojácar","UE15","A04064",35.91
2020,"Indicador 1","Zona rural","Nacimiento","UE15","A04065",0.81
2020,"Indicador 1","Zona de densidad intermedia","Níjar","UE15","A04066",1.18
2020,"Indicador 1","Zona rural","Ohanes","UE15","A04067",0.18
2020,"Indicador 1","Zona rural","Olula de Castro","UE15","A04068",3.66
2020,"Indicador 1","Zona de densidad intermedia","Olula del Río","UE15","A04069",0.53
2020,"Indicador 1","Zona rural","Oria","UE15","A04070",18.89
2020,"Indicador 1","Zona rural","Padules","UE15","A04071",0
2020,"Indicador 1","Zona rural","Partaloa","UE15","A04072",65.6
2020,"Indicador 1","Zona rural","Paterna del Río","UE15","A04073",1.1
2020,"Indicador 1","Zona de densidad intermedia","Pechina","UE15","A04074",1.15
2020,"Indicador 1","Zona de densidad intermedia","Pulpí","UE15","A04075",5.98
2020,"Indicador 1","Zona rural","Purchena","UE15","A04076",3.49
2020,"Indicador 1","Zona rural","Rágol","UE15","A04077",0
2020,"Indicador 1","Zona rural","Rioja","UE15","A04078",1.03
2020,"Indicador 1","Zona de densidad intermedia","Roquetas de Mar","UE15","A04079",2.05
2020,"Indicador 1","Zona rural","Santa Cruz de Marchena","UE15","A04080",2.51
2020,"Indicador 1","Zona rural","Santa Fe de Mondújar","UE15","A04081",2.6
2020,"Indicador 1","Zona rural","Senés","UE15","A04082",2.77
2020,"Indicador 1","Zona rural","Serón","UE15","A04083",2.12
2020,"Indicador 1","Zona rural","Sierro","UE15","A04084",3.69
2020,"Indicador 1","Zona rural","Somontín","UE15","A04085",10.84
2020,"Indicador 1","Zona rural","Sorbas","UE15","A04086",9.56
2020,"Indicador 1","Zona rural","Suflí","UE15","A04087",13.27
2020,"Indicador 1","Zona rural","Tabernas","UE15","A04088",5.43
2020,"Indicador 1","Zona rural","Taberno","UE15","A04089",11.5
2020,"Indicador 1","Zona rural","Tahal","UE15","A04090",0.89
2020,"Indicador 1","Zona rural","Terque","UE15","A04091",1.37
2020,"Indicador 1","Zona rural","Tíjola","UE15","A04092",0.82
2020,"Indicador 1","Zona rural","Turre","UE15","A04093",22
2020,"Indicador 1","Zona rural","Turrillas","UE15","A04094",2.02
2020,"Indicador 1","Zona rural","Uleila del Campo","UE15","A04095",2.92
2020,"Indicador 1","Zona rural","Urrácal","UE15","A04096",10.29
2020,"Indicador 1","Zona rural","Velefique","UE15","A04097",0
2020,"Indicador 1","Zona rural","Vélez-Blanco","UE15","A04098",9.93
2020,"Indicador 1","Zona de densidad intermedia","Vélez-Rubio","UE15","A04099",3.99
2020,"Indicador 1","Zona de densidad intermedia","Vera","UE15","A04100",8.9
2020,"Indicador 1","Ciudades","Viator","UE15","A04101",0.15
2020,"Indicador 1","Ciudades","Vícar","UE15","A04102",0.84
2020,"Indicador 1","Zona rural","Zurgena","UE15","A04103",37.14
2020,"Indicador 1","Zona rural","Tres Villas, Las","UE15","A04901",1.06
2020,"Indicador 1","Zona de densidad intermedia","Ejido, El","UE15","A04902",0.92
2020,"Indicador 1","Zona de densidad intermedia","Mojonera, La","UE15","A04903",0.35
